,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,28,3,0,1,0,0,0,0,0,1,3,0,2,3,0,0,2,0,1,0,0,0,1,0,0,0
2,0,0,36,0,0,1,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
3,0,1,0,32,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,1,2,0,2,1,0,0
4,0,4,0,0,33,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0
5,0,0,0,0,0,29,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,38,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1
7,0,0,0,0,3,0,0,38,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
8,0,0,0,0,0,2,0,0,36,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
9,3,0,1,0,0,7,1,0,1,24,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,1
10,0,1,0,0,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
11,0,3,0,0,0,0,0,0,0,0,1,19,0,0,2,0,0,0,0,0,1,1,0,4,0,0,0
12,0,0,0,0,0,4,0,0,2,0,1,0,34,0,0,0,0,0,1,1,1,0,0,0,1,0,0
13,0,0,0,0,0,0,0,0,1,0,0,0,0,38,2,2,1,0,0,0,0,0,0,1,0,0,0
14,1,2,0,0,0,0,0,1,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2
15,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,35,2,2,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,39,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,23,1,0,0,0,0,0,0,0
19,0,2,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0
20,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,18,1,5,0,0,0,0
21,0,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,1,34,1,0,0,1,0
22,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,15,1,0,0,2
23,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,2,0,0
24,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,39,0
26,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,36
