k = 7, distance function is chi_square
Letter	Accuracy
0	95.55555555555556
1	62.22222222222222
2	80.0
3	71.11111111111111
4	73.33333333333333
5	64.44444444444444
6	84.44444444444444
7	84.44444444444444
8	80.0
9	53.333333333333336
10	91.11111111111111
11	61.29032258064516
12	75.55555555555556
13	84.44444444444444
14	77.41935483870968
15	77.77777777777779
16	63.63636363636363
17	86.66666666666667
18	76.66666666666667
19	81.81818181818183
20	54.54545454545454
21	75.55555555555556
22	46.875
23	84.78260869565217
24	86.66666666666667
25	86.66666666666667
26	81.81818181818183
